Sample	Mdl704	RA_20grp	RA_11grp	RA_6grp	PA_20grp	PA_11grp	PA_6grp	DAYNUM	X_coord	Y_coord	WA_hect	WA_ha_lg	M_Slope	M_Slp_sqt	Mareco	Wcrdeco	Bsnrgeco	Eco1	Eco3	Eco4	Eco9	Eco10	Eco11	Eco12	Eco78	Pcp_ann	Tmx_ann	Wetdays	Loolith	Maflith	Litho1	Litho2	Litho4	Litho5	Litho6	Litho7	Litho8	Elev_m	El_m_sqt	Strm_pwr	Strpw_lg
00020REM	C	5	5	5	11	11	11	243	-122.17709	43.71478	5187.716464	3.714976232	0.3	0.547722558	0	1	0	0	0	1	0	0	0	0	0	1685	139	161	1	0	0	1	0	0	0	0	0	918	30.29851482	21.60774125	1.334609371
00021REM	C	4	4	4	1	1	1	241	-122.13559	43.86306	2837.663314	3.452960866	5.2	2.28035085	0	1	0	0	0	1	0	0	0	0	0	1707	139	159	1	0	0	1	0	0	0	0	0	823	28.68797658	277.002556	2.442483776
00027CSR	C	7	5	5	7	7	7	193	-123.82081	43.87563	2426.353832	3.384954134	1.4	1.183215957	1	0	0	1	0	0	0	0	0	0	0	1745	163	153	0	0	0	0	1	0	0	0	0	112	10.58300524	68.96124644	1.838605103
00027REM	C	8	4	4	5	5	5	243	-122.39721	44.69876	2374.867268	3.375639342	2.9	1.702938637	0	1	0	0	0	1	0	0	0	0	0	2141	151	171	0	0	1	0	0	0	0	0	0	579	24.06241883	141.3245687	2.150217669
00028REM	C	4	4	4	15	15	1	241	-121.83532	45.31646	1001.702611	3.000738806	3.1	1.760681686	0	1	0	0	0	1	0	0	0	0	0	2236	110	173	0	1	0	0	0	0	0	1	0	778	27.89265136	98.11402597	1.991731097
00028SEO	C	16	16	10	16	16	11	279	-118.71815	42.98364	11656.08499	4.066552705	1	1	0	0	1	0	0	0	0	0	0	1	0	264	156	64	0	0	1	0	0	0	0	0	0	1291	35.93048845	107.9633502	2.033276353
00030REM	C	5	5	5	15	15	1	242	-122.20803	44.84536	2727.432471	3.435754007	2.1	1.449137675	0	1	0	0	0	1	0	0	0	0	0	2496	130	181	0	0	1	0	0	0	0	0	0	632	25.13961018	109.672135	2.040096298
00031CSR	C	18	18	1	18	4	4	195	-123.74033	43.09032	55.1073292	1.741209363	8.4	2.898275349	1	0	0	1	0	0	0	0	0	0	0	2185	160	170	0	0	0	0	1	0	0	0	0	809	28.44292531	62.35682119	1.794883968
00031REM	C	4	4	4	6	3	1	243	-121.93993	44.76983	4997.095648	3.698717662	3.6	1.897366596	0	1	0	0	0	1	0	0	0	0	0	1882	133	157	0	0	1	0	0	0	0	0	0	756	27.49545417	254.4844977	2.405661332
00036REM	C	20	20	20	1	1	1	251	-121.8815	45.23283	1217.439377	3.085447345	8.1	2.846049894	0	1	0	0	0	1	0	0	0	0	0	1971	116	167	0	1	0	0	0	0	0	1	0	715	26.73948391	282.6237738	2.451208691
00038CSR	C	8	4	4	21	4	4	200	-123.24006	42.07481	82.0617812	1.914140939	33.7	5.805170109	0	1	0	0	0	0	0	0	0	0	1	1373	132	124	0	0	0	0	1	0	0	0	0	1111	33.33166662	305.2814182	2.484700371
00041CSR	C	5	5	5	18	4	4	199	-123.81714	45.62795	42.586173	1.629268614	17	4.123105626	1	0	0	1	0	0	0	0	0	0	0	3045	152	203	0	1	0	0	0	0	0	1	0	79	8.888194417	110.9387398	2.045083228
00045CSR	C	7	5	5	21	4	4	194	-123.81366	44.89135	600.2791256	2.778353241	1.1	1.048808848	1	0	0	1	0	0	0	0	0	0	0	3492	152	195	0	1	0	0	0	0	0	1	0	254	15.93737745	26.95065383	1.430569306
00048CSR	C	24	24	20	5	5	5	192	-122.38619	44.42754	3598.641063	3.556138531	2.6	1.61245155	0	1	0	0	0	1	0	0	0	0	0	1706	161	161	0	0	1	0	0	0	0	0	0	389	19.72308292	155.9705536	2.193042614
00049CSR	C	5	5	5	4	4	4	194	-122.1461	44.02313	51.246636	1.709665362	29	5.385164807	0	1	0	0	0	1	0	0	0	0	0	1841	145	162	0	0	1	0	0	0	0	0	0	958	30.95157508	207.6015917	2.317230679
00051CSR	C	5	5	5	1	1	1	195	-122.15895	44.2321	1564.27504	3.194313116	5.3	2.302172887	0	1	0	0	0	1	0	0	0	0	0	2278	144	175	0	0	1	0	0	0	0	0	0	725	26.92582404	209.6198604	2.321432427
00055CSR	C	7	5	5	27	7	7	206	-123.57204	42.65526	2526.428405	3.402506996	4.6	2.144761059	0	1	0	0	0	0	0	0	0	0	1	1069	154	120	0	0	0	0	1	0	0	0	0	236	15.3622915	231.2125106	2.364011329
00060CSR	C	24	24	20	8	8	4	208	-122.59534	44.88165	1248.961763	3.096549143	3.1	1.760681686	0	1	0	0	0	1	0	0	0	0	0	2141	147	163	0	0	0	0	1	0	0	0	0	506	22.49444376	109.5560247	2.039636265
00065CSR	C	10	10	10	7	7	7	215	-123.78631	45.04696	3062.802175	3.486118947	0.7	0.836660027	1	0	0	1	0	0	0	0	0	0	0	2595	153	181	0	0	0	0	1	0	0	0	0	144	12	38.73981241	1.588157513
00077REF	C	7	5	5	9	4	4	223	-118.71736	45.0676	3223.962447	3.508389974	0.8	0.894427191	0	1	0	0	0	0	0	0	1	0	0	738	118	114	0	0	0	0	1	0	0	0	0	1325	36.40054945	45.42395806	1.657284974
00081REF	C	31	31	31	7	7	7	222	-118.2087	45.14693	3995.84457	3.601608587	5.3	2.302172887	0	1	0	0	0	0	0	0	1	0	0	772	115	121	0	0	0	0	1	0	0	0	0	1497	38.69108424	335.0272735	2.525080163
00084REF	C	5	5	5	3	3	1	230	-118.10343	44.88639	4822.36671	3.683260233	3.3	1.816590212	0	1	0	0	0	0	0	0	1	0	0	722	118	125	0	0	1	0	0	0	0	0	0	1604	40.04996879	229.1627663	2.360144056
00088REF	C	18	18	1	1	1	1	250	-121.60804	45.3552	452.7826002	2.655889729	4.5	2.121320344	0	1	0	0	0	1	0	0	0	0	0	2120	95	165	0	1	0	0	0	0	0	1	0	1479	38.45776905	95.75409993	1.981157378
00098REF	C	3	3	1	16	16	11	257	-121.75178	44.7952	2052.001728	3.312177722	1.3	1.140175425	0	1	0	0	0	1	0	0	0	0	0	2209	112	168	0	0	1	0	0	0	0	0	0	1421	37.69615365	58.88873339	1.770032213
00099REF	C	3	3	1	6	3	1	256	-121.65073	44.74714	5373.068175	3.730222351	0.7	0.836660027	0	1	0	0	0	0	1	0	0	0	0	1125	127	119	1	0	0	1	0	0	0	0	0	1105	33.24154028	51.31085076	1.710209216
00102REF	C	7	5	5	36	36	11	257	-117.67563	45.40631	44636.65991	4.64969169	1.1	1.048808848	0	1	0	0	0	0	0	0	1	0	0	836	112	126	0	1	0	0	0	0	0	1	0	1035	32.17141588	232.4012876	2.36623853
01007JDE	C	18	18	1	1	1	1	190	-121.66096	45.24938	1024.248541	3.010405354	1.8	1.341640786	0	1	0	0	0	1	0	0	0	0	0	1383	106	135	1	0	0	0	0	1	0	0	0	1006	31.71750305	57.6069898	1.760475182
01011JDE	C	18	18	1	11	11	11	212	-118.38236	44.89782	608.4225098	2.784205273	3.2	1.788854382	0	1	0	0	0	0	0	0	1	0	0	780	112	118	1	0	0	1	0	0	0	0	0	1693	41.14608122	78.93191053	1.897252615
01021JDE	C	4	4	4	3	3	1	211	-118.31402	44.90789	2529.505793	3.403035678	3.4	1.843908891	0	1	0	0	0	0	0	0	1	0	0	807	109	121	0	0	1	0	0	0	0	0	0	1700	41.23105626	171.0002543	2.232996756
01031WSE	C	18	18	1	4	4	4	213	-122.28132	44.86329	83.3945336	1.921137584	21.4	4.626013402	0	1	0	0	0	1	0	0	0	0	0	2434	134	180	0	0	1	0	0	0	0	0	0	736	27.12931993	195.4261001	2.290982565
01059CSR	C	41	3	1	21	4	4	233	-122.52135	43.23377	926.6298902	2.966906305	4.3	2.073644135	0	1	0	0	0	1	0	0	0	0	0	1283	157	142	0	1	0	0	0	0	0	1	0	732	27.05549852	130.8945632	2.116921608
01070CSR	C	41	3	1	42	42	42	255	-123.91227	42.17385	2626.33952	3.419350869	3	1.732050808	0	1	0	0	0	0	0	0	0	0	1	3417	164	163	0	1	0	0	0	0	0	0	1	625	25	153.7434736	2.186796689
01072CSR	C	43	1	1	1	1	1	240	-122.7069	42.09823	228.4104564	2.358715982	11.4	3.376388603	0	1	0	0	0	0	0	0	0	0	1	1111	118	126	0	0	1	0	0	0	0	0	0	1558	39.47150871	172.2910993	2.236262842
01090CSR	C	43	1	1	1	1	1	261	-122.08105	44.25455	653.6754014	2.815362142	10.4	3.224903099	0	1	0	0	0	1	0	0	0	0	0	1945	145	159	0	0	1	0	0	0	0	0	0	765	27.65863337	265.8975957	2.42471441
01106CSR	C	43	1	1	1	1	1	218	-122.19464	43.68558	1816.308067	3.259189512	4.3	2.073644135	0	1	0	0	0	1	0	0	0	0	0	1633	140	159	1	0	0	1	0	0	0	0	0	1135	33.68976106	183.2581135	2.263063211
01108CSR	C	43	1	1	21	4	4	234	-122.69607	43.57797	932.5338134	2.969664588	8.6	2.93257566	0	1	0	0	0	1	0	0	0	0	0	1821	143	167	0	0	1	0	0	0	0	0	0	672	25.92296279	262.6217829	2.419330745
01122CSR	C	1	1	1	8	8	4	241	-123.62829	44.92954	672.0584024	2.827407015	3	1.732050808	1	0	0	1	0	0	0	0	0	0	0	3762	112	200	0	1	0	0	0	0	0	1	0	560	23.66431913	77.77226769	1.890824762
02038CSR	C	5	5	5	9	4	4	211	-121.93481	44.59246	501.9762958	2.700683209	1.7	1.303840481	0	1	0	0	0	1	0	0	0	0	0	1880	137	155	1	0	0	1	0	0	0	0	0	806	28.39013913	38.08820677	1.580790526
02056CSR	C	8	4	4	27	7	7	218	-123.80473	43.29015	8042.195358	3.905374619	0.7	0.836660027	1	0	0	1	0	0	0	0	0	0	0	1975	172	163	0	0	0	0	1	0	0	0	0	176	13.26649916	62.77480168	1.797785349
02063CSR	C	7	5	5	8	8	4	220	-123.52179	43.45945	1805.022155	3.256482537	1.1	1.048808848	1	0	0	1	0	0	0	0	0	0	0	1076	179	128	0	0	0	0	1	0	0	0	0	89	9.433981132	46.73410753	1.669633954
02068REF	C	1	1	1	8	8	4	225	-122.94898	43.89032	418.5125756	2.621708512	5.2	2.28035085	1	0	0	0	1	0	0	0	0	0	0	1334	171	153	0	0	0	0	1	0	0	0	0	270	16.43167673	106.3794155	2.0268576
02069CSR	C	7	5	5	11	11	11	225	-122.40954	43.09827	337.5933848	2.528393928	1.1	1.048808848	0	1	0	0	0	1	0	0	0	0	0	1446	118	145	0	1	0	0	0	0	0	1	0	1513	38.89730068	20.21108596	1.305589649
02078REF	C	8	4	4	5	5	5	227	-122.52517	44.12009	2583.027899	3.412129097	2.2	1.483239697	1	0	0	0	1	0	0	0	0	0	0	1425	173	152	0	0	1	0	0	0	0	0	0	268	16.37070554	111.8116945	2.048487229
02080REF	C	8	4	4	8	8	4	231	-123.25372	45.56729	857.9417574	2.933457806	3.8	1.949358869	1	0	0	0	1	0	0	0	0	0	0	1608	153	163	0	1	0	0	0	0	0	1	0	143	11.95826074	111.3044428	2.0465125
02082CSR	C	8	4	4	8	8	4	232	-122.69395	44.19135	1515.273529	3.180491036	2.1	1.449137675	0	1	0	0	0	1	0	0	0	0	0	1771	165	169	0	0	1	0	0	0	0	0	0	333	18.24828759	81.74568039	1.912464813
02086CSR	C	8	4	4	8	8	4	233	-122.88053	44.23008	919.0658932	2.96334665	7.2	2.683281573	0	1	0	0	0	1	0	0	0	0	0	1453	162	159	0	0	1	0	0	0	0	0	0	382	19.54482029	218.2759169	2.339005821
02087REF	C	57	16	10	8	8	4	234	-123.34912	44.59989	463.97505	2.666494627	3.3	1.816590212	1	0	0	0	1	0	0	0	0	0	0	1621	166	149	0	1	0	0	0	0	0	1	0	151	12.28820573	71.08226428	1.851761253
02089REF	C	1	1	1	8	8	4	238	-123.23892	45.69704	298.5256134	2.474981599	6.9	2.626785107	1	0	0	0	1	0	0	0	0	0	0	1776	154	172	0	0	0	0	1	0	0	0	0	204	14.28285686	119.2174671	2.07633989
02100REF	C	10	10	10	36	36	11	246	-123.26452	45.51536	3068.70893	3.486955697	2.7	1.643167673	1	0	0	0	1	0	0	0	0	0	0	1631	150	163	0	1	0	0	0	0	0	1	0	149	12.20655562	149.5690078	2.174841613
02101CSR	C	18	18	1	1	1	1	246	-122.05685	43.95979	13180.11325	4.119919142	1.6	1.264911064	0	1	0	0	0	1	0	0	0	0	0	1741	141	156	1	0	0	1	0	0	0	0	0	830	28.80972058	183.6874789	2.264079554
02102CSR	C	8	4	4	36	36	11	246	-122.41015	44.96116	9396.327632	3.972958151	2.3	1.516575089	0	1	0	0	0	1	0	0	0	0	0	1907	141	168	0	0	1	0	0	0	0	0	0	380	19.49358869	222.94971	2.348206912
02104CSR	C	62	3	1	1	1	1	247	-121.9862	43.95494	6477.086438	3.811379693	2.1	1.449137675	0	1	0	0	0	1	0	0	0	0	0	1800	129	157	1	0	0	1	0	0	0	0	0	959	30.96772513	169.0087311	2.227909141
02106REF	C	57	16	10	36	36	11	248	-123.28995	45.66758	2014.505828	3.304168528	0.4	0.632455532	1	0	0	0	1	0	0	0	0	0	0	1475	149	158	0	0	0	0	1	0	0	0	0	168	12.9614814	17.95329865	1.254144255
02111CSR	C	8	4	4	15	15	1	253	-123.94354	44.96549	490.4706856	2.690613056	3.1	1.760681686	1	0	0	1	0	0	0	0	0	0	0	2590	157	179	0	1	0	0	0	0	0	1	0	105	10.24695077	68.6543756	1.836668222
02130CSR	C	7	5	5	8	8	4	267	-123.79949	42.94594	1553.164319	3.191217405	2.9	1.702938637	1	0	0	1	0	0	0	0	0	0	0	1666	162	148	0	0	0	0	1	0	0	0	0	213	14.59451952	114.2895967	2.0580067
02136CSR	C	8	4	4	36	36	11	273	-122.44564	45.04075	2470.223801	3.392736302	3.7	1.923538406	0	1	0	0	0	1	0	0	0	0	0	2021	145	175	0	0	1	0	0	0	0	0	0	449	21.1896201	183.8949804	2.264569875
03012BPA	C	20	20	20	3	3	1	210	-118.69714	44.29466	259.035035	2.413358507	10.9	3.301514804	0	1	0	0	0	0	0	0	1	0	0	1136	111	129	0	1	0	0	0	0	0	1	0	2104	45.86937976	175.4307627	2.244105752
03014BPA	C	20	20	20	3	3	1	211	-118.69052	44.30075	365.4322924	2.562806922	8.2	2.863564213	0	1	0	0	0	0	0	0	1	0	0	1148	114	129	0	1	0	0	0	0	0	1	0	1970	44.38468204	156.7535242	2.195217314
03015BPA	C	18	18	1	4	4	4	212	-118.512	44.42149	2837.9348	3.453002414	3.1	1.760681686	0	1	0	0	0	0	0	0	1	0	0	590	131	103	0	1	0	0	0	0	0	1	0	1338	36.57868232	165.1440384	2.217862901
03016BPA	C	41	3	1	9	4	4	212	-120.33405	44.50303	284.7914664	2.454526972	16.8	4.098780306	0	1	0	0	0	0	0	0	1	0	0	460	134	77	0	0	1	0	0	0	0	0	0	1302	36.08323711	283.512863	2.452572768
03018BPA	C	7	5	5	36	36	11	238	-118.67306	44.79158	2356.493168	3.372266185	6.8	2.607680962	0	1	0	0	0	0	0	0	1	0	0	850	104	119	0	1	0	0	0	0	0	1	0	1682	41.01219331	330.0973252	2.518642005
99001UAA	C	72	24	20	16	16	11	236	-118.78261	42.84632	5624.864511	3.750112066	4	2	0	0	1	0	0	0	0	0	0	1	0	393	157	71	0	1	0	0	0	0	0	1	0	1471	38.35361782	299.9963869	2.477116024
99005REM	C	4	4	4	5	5	5	194	-122.48579	43.73887	518.9306542	2.715109326	7.9	2.810693865	0	1	0	0	0	1	0	0	0	0	0	1306	165	148	0	0	1	0	0	0	0	0	0	348	18.65475811	179.9623909	2.255181754
99005UAA	C	16	16	10	74	16	11	238	-118.75553	42.66506	4703.680537	3.672437818	2	1.414213562	0	0	1	0	0	0	0	0	0	1	0	492	135	76	0	1	0	0	0	0	0	1	0	1553	39.40812099	137.1667676	2.137248905
99007REM	C	20	20	20	5	5	5	203	-122.23477	44.22538	5734.337133	3.758483222	1.6	1.264911064	0	1	0	0	0	1	0	0	0	0	0	2016	155	167	1	0	0	0	0	0	1	0	0	474	21.77154106	121.1606498	2.083361594
99009REM	C	18	18	1	4	4	4	202	-122.01967	44.1076	476.9076844	2.67843432	15	3.872983346	0	1	0	0	0	1	0	0	0	0	0	1890	147	159	1	0	0	1	0	0	0	0	0	676	26	327.5732422	2.515308419
99010CSR	C	18	18	1	18	4	4	195	-122.79621	43.24508	267.1994584	2.426835574	1.7	1.303840481	0	1	0	0	0	1	0	0	0	0	0	1609	165	153	0	0	1	0	0	0	0	0	0	1205	34.71310992	27.78860261	1.443866708
99010REM	C	24	24	20	78	42	42	208	-122.1913	44.51892	276.1075366	2.441078261	15.8	3.974921383	0	1	0	0	0	1	0	0	0	0	0	2286	138	175	1	0	0	0	0	0	1	0	0	615	24.79919354	262.5404453	2.419196218
99013REM	C	24	24	20	79	5	5	215	-121.94223	45.26824	3076.62412	3.48807444	4	2	0	1	0	0	0	1	0	0	0	0	0	2064	134	174	0	1	0	0	0	0	0	1	0	514	22.6715681	221.8692992	2.346097212
99014CSR	C	20	20	20	42	42	42	201	-122.71851	42.14356	2556.179452	3.407591339	6.5	2.549509757	0	1	0	0	0	0	0	0	0	0	1	905	137	117	0	0	1	0	0	0	0	0	0	969	31.12876483	328.6313769	2.516709026
99015REM	C	4	4	4	4	4	4	217	-121.92068	45.2619	239.998605	2.380208717	13.7	3.701351105	0	1	0	0	0	1	0	0	0	0	0	2060	134	173	0	0	1	0	0	0	0	0	0	534	23.10844002	212.2388706	2.326824926
99017CSR	C	7	5	5	7	7	7	209	-124.09099	44.26643	2075.361309	3.317093716	1.2	1.095445115	1	0	0	1	0	0	0	0	0	0	0	2271	164	170	0	1	0	0	0	0	0	1	0	19	4.358898944	54.66736033	1.737728104
99018CSR	C	31	31	31	7	7	7	210	-124.09122	44.1877	1385.531661	3.141616454	1.3	1.140175425	1	0	0	1	0	0	0	0	0	0	0	2189	163	167	0	1	0	0	0	0	0	1	0	55	7.416198487	48.38954956	1.684751579
99021CSR	C	5	5	5	5	5	5	216	-123.74346	45.59474	351.2822166	2.545656165	3.9	1.974841766	1	0	0	1	0	0	0	0	0	0	0	3594	152	212	0	1	0	0	0	0	0	1	0	162	12.72792206	73.09584471	1.863892689
99021REM	C	62	3	1	1	1	1	229	-122.10088	43.70004	1544.291036	3.188729151	13.1	3.619392214	0	1	0	0	0	1	0	0	0	0	0	1700	123	159	0	1	0	0	0	0	0	1	0	1079	32.84813541	514.7968383	2.711635871
99024CSR	C	31	31	31	7	7	7	216	-122.73835	44.62999	3598.657247	3.556140484	1.4	1.183215957	1	0	0	0	1	0	0	0	0	0	0	1346	167	152	1	0	0	1	0	0	0	0	0	133	11.53256259	83.98433308	1.924198278
99025REM	C	20	20	20	5	5	5	243	-122.073	44.84753	1535.161237	3.186153996	3.9	1.974841766	0	1	0	0	0	1	0	0	0	0	0	2164	127	171	1	0	0	1	0	0	0	0	0	866	29.42787794	152.8064214	2.184141605
99026REM	C	18	18	1	1	1	1	250	-121.88868	45.48103	1884.787426	3.275262376	6.6	2.569046516	0	1	0	0	0	1	0	0	0	0	0	2809	123	197	0	1	0	0	0	0	0	1	0	742	27.23967694	286.5333144	2.457175123
99027REM	C	24	24	20	5	5	5	251	-121.86972	45.59537	5356.819439	3.728907008	2.9	1.702938637	0	1	0	0	0	1	0	0	0	0	0	2408	140	185	0	1	0	0	0	0	0	1	0	251	15.84297952	212.2518586	2.326851502
99030REM	C	5	5	5	1	1	1	265	-121.88874	44.73813	281.4001092	2.449324262	9.9	3.146426545	0	1	0	0	0	1	0	0	0	0	0	2025	129	163	0	0	1	0	0	0	0	0	0	933	30.5450487	166.0723478	2.220297325
99032CSR	C	4	4	4	27	7	7	222	-122.81885	43.09517	2770.324927	3.44253071	2.5	1.58113883	0	1	0	0	0	1	0	0	0	0	0	1338	173	140	0	1	0	0	0	0	0	1	0	589	24.2693222	131.5846906	2.119205364
99033CSR	C	7	5	5	18	4	4	223	-122.64032	42.91191	295.3952232	2.470403468	22	4.69041576	0	1	0	0	0	1	0	0	0	0	0	1253	121	133	0	0	1	0	0	0	0	0	0	1134	33.67491648	378.1154427	2.577624415
99033REM	C	7	5	5	36	36	11	258	-122.76488	43.82109	2186.128651	3.339675716	2.4	1.549193338	0	1	0	0	0	1	0	0	0	0	0	1537	157	163	0	1	0	0	0	0	0	1	0	391	19.77371993	112.2145313	2.0500491
99034CSR	C	5	5	5	8	8	4	221	-123.58457	43.74854	202.0422698	2.305442239	3	1.732050808	1	0	0	1	0	0	0	0	0	0	0	1254	171	134	0	0	0	0	1	0	0	0	0	189	13.74772708	42.64247212	1.629842374
99035REM	C	4	4	4	1	1	1	271	-121.59067	45.39689	1961.381038	3.292561972	4.7	2.167948339	0	1	0	0	0	1	0	0	0	0	0	1979	112	162	0	0	1	0	0	0	0	0	0	1107	33.27160952	208.1511642	2.318378844
99039CSR	C	5	5	5	21	4	4	235	-123.38372	45.7947	254.355836	2.405441707	2.3	1.516575089	1	0	0	1	0	0	0	0	0	0	0	1958	142	177	0	0	0	0	1	0	0	0	0	358	18.92088793	36.68163536	1.564448689
99043CSR	C	10	10	10	27	7	7	236	-124.09119	42.05009	3341.989122	3.524005032	0.9	0.948683298	0	1	0	0	0	0	0	0	0	0	1	2206	163	128	0	0	0	0	1	0	0	0	0	78	8.831760866	52.02894568	1.716245025
99045CSR	C	57	16	10	27	7	7	238	-124.03501	42.57303	8799.144505	3.94444045	0.6	0.774596669	0	1	0	0	0	0	0	0	0	0	1	1854	201	134	0	0	0	0	1	0	0	0	0	52	7.211102551	56.28225317	1.750371475
99050CSR	C	57	16	10	21	4	4	243	-123.85332	44.53929	202.4768102	2.30637529	3.9	1.974841766	1	0	0	1	0	0	0	0	0	0	0	2262	167	168	0	0	0	0	1	0	0	0	0	171	13.07669683	55.4947951	1.744252252
99054CSR	C	24	24	20	18	4	4	244	-122.25283	44.43701	1725.6894	3.236962632	5.5	2.34520788	0	1	0	0	0	1	0	0	0	0	0	2102	142	171	0	0	1	0	0	0	0	0	0	589	24.2693222	228.4777984	2.358844005
99057CSR	C	7	5	5	21	4	4	257	-124.37096	43.0272	160.8572266	2.206440577	5.5	2.34520788	1	0	0	1	0	0	0	0	0	0	0	1887	169	147	0	0	0	0	1	0	0	0	0	94	9.695359715	69.75622628	1.843582978
99060CSR	C	5	5	5	5	5	5	263	-123.90835	44.91002	1058.36239	3.024634399	2.2	1.483239697	1	0	0	1	0	0	0	0	0	0	0	2923	160	189	0	1	0	0	0	0	0	1	0	126	11.22497216	71.57146058	1.85473988
99074CSR	C	4	4	4	18	4	4	252	-122.72469	43.49055	1128.057168	3.05233111	3.2	1.788854382	0	1	0	0	0	1	0	0	0	0	0	1647	162	159	0	0	1	0	0	0	0	0	0	660	25.69046516	107.4769994	2.031315533
H108270	C	72	24	20	7	7	7	184	-123.63595	44.16019	74.53289795	1.872348008	1.93370341	1.390576647	1	0	0	1	0	0	0	0	0	0	0	2115	171	165	0	0	0	0	1	0	0	0	0	256	16	16.69413291	1.222563867
H108272	C	105	31	31	7	7	7	186	-123.94102	43.70169	1954.459961	3.291026778	0.370915729	0.609028512	1	0	0	1	0	0	0	0	0	0	0	1998	170	163	0	0	0	0	1	0	0	0	0	42	6.480740698	16.39791532	1.214788639
H108273	C	31	31	31	106	36	11	187	-123.93533	43.88555	822.1929932	2.914973771	1.277987421	1.130481057	1	0	0	1	0	0	0	0	0	0	0	2105	167	165	0	0	0	0	1	0	0	0	0	92	9.591663047	36.64489358	1.564013465
H108274	C	10	10	10	5	5	5	189	-123.69018	45.23553	512.052002	2.709314068	4.482352941	2.117156806	1	0	0	1	0	0	0	0	0	0	0	3365	152	201	0	0	0	0	1	0	0	0	0	312	17.66352173	101.4292196	2.006163084
H108275	C	24	24	20	8	8	4	190	-123.25276	45.56739	846.6370239	2.927697257	2.498360656	1.580620339	1	0	0	0	1	0	0	0	0	0	0	1608	153	163	0	1	0	0	0	0	0	1	0	144	12	72.69486934	1.86150376
H108276	C	72	24	20	7	7	7	190	-123.23761	45.56571	1852.939941	3.267861343	1.517361543	1.2318123	1	0	0	0	1	0	0	0	0	0	0	1555	156	162	0	1	0	0	0	0	0	1	0	123	11.09053651	65.31602465	1.815019744
H108278	C	110	110	31	27	7	7	193	-124.20182	42.72223	2300.629883	3.361846757	1.6256	1.274990196	1	0	0	1	0	0	0	0	0	0	0	2791	168	168	0	0	0	0	1	0	0	0	0	333	18.24828759	77.9717118	1.891937069
H108291	C	111	20	20	42	42	42	208	-122.71527	42.14609	129.1430054	2.111070889	5.122689076	2.263335829	0	1	0	0	0	0	0	0	0	0	1	810	142	112	0	0	1	0	0	0	0	0	0	970	31.144823	58.21480425	1.765033441
